Average,Expected
0.16292811557609,0
0.16662562616945,0
0.13042354097462,0
0.13282610285603,0
0.12862021681827,0
0.15638193183175,0
0.16113632818593,0
0.11956661494331,0
0.19771415384498,0
0.091193297569306,0
0.094748900111056,0
0.15992670436634,0
0.074812877439439,0
0.12984977790326,0
0.17010194212199,0
0.15236459513187,0
0.15707249854295,0
0.15438113871264,0
0.15649727990627,0
0.15414472145711,0
0.15397886598116,0
0.16569904511704,0
0.16329223664341,0
0.19676778795565,0
0.086891165469532,0
0.0865356814256,0
0.11765407078859,0
0.088456489266789,0
0.10153072190867,0
0.095444765961657,0
0.074449446947131,0
0.063802720336267,0
0.077178704173442,0
0.086430286969353,0
0.084040089739838,0
0.1595092755744,0
0.14875483520619,0
0.095085747482122,0
0.074086287896729,0
0.1502992714305,0
0.11333332682977,0
0.11890339827001,0
0.068,0
0.142978607723,0
0.094281842972383,0
0.070206466865072,0
0.076273084668792,0
0.07346227135592,0
0.11824196657763,0
0.073986135679858,0
0.11088864413557,0
0.1503252088736,0
0.1312270620573,0
0.11570248538983,0
0.092646635801134,0
0.090614920390329,0
0.090091377524801,0
0.093517858265589,0
0.10377641393321,0
0.11584129468392,0
0.16477211802776,0
0.17970150460631,0
0.17110850391361,0
0.22923970302368,0
0.059165953762897,0
0.10561884829455,0
0.10293938616537,0
0.088035113110064,0
0.083164701416601,0
0.12245412485189,0
0.067049420208598,0
0.14039023505926,0
0.17727598596982,0
0.099303274788648,0
0.042912819136859,0
0.046615763720337,0
0.062840914000706,0
0.083657290126553,0
0.074350936304518,0
0.029166666666667,0
0.045902434431092,0
0.046687559449615,0
0.094346422169433,0
0.10504420225077,0
0.028205128205128,0
0.033333333333333,0
0.1631103086523,0
0.098295949325461,0
0.10591252494637,0
0.096012402319738,0
0.093215591203698,0
0.098083217860738,0
0.097705491046741,0
0.10523251266134,0
0.10531408831609,0
0.09108457993401,0
0.099896498007306,0
0.063117633320762,0
0.065750438802589,0
0.088314708436589,0
0.094449583094536,0
0.07773503836583,0
0.040902632770865,0
0.11155766310098,0
0.10607566376409,0
0.032258064516129,0
0.025396825396825,0
0.03125,0
0.018867924528302,0
0.018518518518519,0
0.031914893617021,0
0.06317069378187,0
0.047856205269733,0
0.047494316250568,0
0.038709498446121,0
0.083410289965445,0
0.07446049392124,0
0.047162330794423,0
0.074265471724439,0
0.16207750699462,0
0.17751131920647,0
0.10984166108446,0
0.018518518518519,0
0.045422280950394,0
0.028260869565217,0
0.040584390174053,0
0.09491811108405,0
0.10129117373926,0
0.027272727272727,0
0.07034821282194,0
0.073140677989318,0
0.030769230769231,0
0.10667304544061,0
0.054026341073134,0
0.021621621621622,0
0.041716464256242,0
0.034800349823608,0
0.10129117373926,0
0.14322234024252,0
0.027397260273973,0
0.21781780947169,0
0.10655796865033,0
0.054704370818221,0
0.030545662882392,0
0.17440646769967,0
0.028260869565217,0
0.021621621621622,0
0.06787684061103,0
0.032375172904552,0
0.10056494934864,0
0.099184371828597,0
0.063489417240491,0
0.10907189258563,0
0.17758496821672,0
0.090632145559955,0
0.12268801412689,0
0.14147408143454,0
0.13283749621255,0
0.13658757505584,0
0.18149732139741,0
0.14352455473067,0
0.12144091830037,0
0.08276769285919,0
0.13826264952502,0
0.12905226949408,0
0.10389902270684,0
0.08905959825304,0
0.088596609904635,0
0.12830933115931,0
0.11356145907485,0
0.083273427472802,0
0.11043135815712,0
0.14333100102607,0
0.15903068729007,0
0.12754410093088,0
0.12056908613436,0
0.1189037336461,0
0.10542719275895,0
